datadate,tic,conm,cshtrd,prccd,prchd,prcld,prcod
02/01/2019,MSFT,MICROSOFT CORP,35145360,101.12,101.75,98.94,99.55
03/01/2019,MSFT,MICROSOFT CORP,42111650,97.4,100.185,97.2,100.1
04/01/2019,MSFT,MICROSOFT CORP,43982700,101.93,102.51,98.93,99.72
07/01/2019,MSFT,MICROSOFT CORP,35567820,102.06,103.2681,100.98,101.64
08/01/2019,MSFT,MICROSOFT CORP,31322920,102.8,103.97,101.7134,103.04
09/01/2019,MSFT,MICROSOFT CORP,32261890,104.27,104.88,103.2445,103.86
10/01/2019,MSFT,MICROSOFT CORP,29978930,103.6,103.75,102.38,103.22
11/01/2019,MSFT,MICROSOFT CORP,28235260,102.8,103.44,101.64,103.19
14/01/2019,MSFT,MICROSOFT CORP,27194560,102.05,102.8716,101.26,101.9
15/01/2019,MSFT,MICROSOFT CORP,31537490,105.01,105.05,101.88,102.51
16/01/2019,MSFT,MICROSOFT CORP,29655860,105.38,106.255,104.96,105.26
17/01/2019,MSFT,MICROSOFT CORP,27151570,106.12,106.625,104.76,105
18/01/2019,MSFT,MICROSOFT CORP,37299850,107.71,107.9,105.91,107.46
22/01/2019,MSFT,MICROSOFT CORP,32092050,105.68,107.1,104.86,106.75
23/01/2019,MSFT,MICROSOFT CORP,25512110,106.71,107.04,105.34,106.12
24/01/2019,MSFT,MICROSOFT CORP,23125910,106.2,107,105.34,106.86
25/01/2019,MSFT,MICROSOFT CORP,31182240,107.17,107.88,106.59,107.24
28/01/2019,MSFT,MICROSOFT CORP,29402020,105.08,106.48,104.66,106.26
29/01/2019,MSFT,MICROSOFT CORP,31262200,102.94,104.97,102.17,104.88
30/01/2019,MSFT,MICROSOFT CORP,47203190,106.38,106.38,104.33,104.62
31/01/2019,MSFT,MICROSOFT CORP,55442870,104.43,105.22,103.18,103.8
01/02/2019,MSFT,MICROSOFT CORP,35243730,102.78,104.0999,102.35,103.775
04/02/2019,MSFT,MICROSOFT CORP,31216260,105.74,105.8,102.77,102.87
05/02/2019,MSFT,MICROSOFT CORP,27270810,107.22,107.27,105.96,106.06
06/02/2019,MSFT,MICROSOFT CORP,20577980,106.03,107,105.53,107
07/02/2019,MSFT,MICROSOFT CORP,29735930,105.27,105.59,104.29,105.185
08/02/2019,MSFT,MICROSOFT CORP,21453990,105.67,105.78,104.2603,104.39
11/02/2019,MSFT,MICROSOFT CORP,18753750,105.25,106.58,104.965,106.2
12/02/2019,MSFT,MICROSOFT CORP,25018670,106.89,107.14,105.48,106.14
13/02/2019,MSFT,MICROSOFT CORP,18337830,106.81,107.78,106.71,107.5
14/02/2019,MSFT,MICROSOFT CORP,21745770,106.9,107.29,105.66,106.31
15/02/2019,MSFT,MICROSOFT CORP,26589160,108.22,108.3,107.3624,107.91
19/02/2019,MSFT,MICROSOFT CORP,17982860,108.17,108.66,107.78,107.79
20/02/2019,MSFT,MICROSOFT CORP,21603580,107.15,107.94,106.29,107.86
21/02/2019,MSFT,MICROSOFT CORP,28856200,109.41,109.48,106.87,106.9
22/02/2019,MSFT,MICROSOFT CORP,27746840,110.97,111.2,109.82,110.05
25/02/2019,MSFT,MICROSOFT CORP,23723500,111.59,112.18,111.26,111.76
26/02/2019,MSFT,MICROSOFT CORP,21513210,112.36,113.24,111.17,111.26
27/02/2019,MSFT,MICROSOFT CORP,21471170,112.17,112.36,110.88,111.69
28/02/2019,MSFT,MICROSOFT CORP,28948570,112.03,112.88,111.73,112.04
01/03/2019,MSFT,MICROSOFT CORP,20821260,112.53,113.02,111.665,112.89
04/03/2019,MSFT,MICROSOFT CORP,25869380,112.26,113.25,110.8,113.02
05/03/2019,MSFT,MICROSOFT CORP,19090780,111.7,112.39,111.23,112.25
06/03/2019,MSFT,MICROSOFT CORP,17651130,111.75,112.66,111.43,111.87
07/03/2019,MSFT,MICROSOFT CORP,25320540,110.39,111.55,109.865,111.4
08/03/2019,MSFT,MICROSOFT CORP,22803110,110.51,110.71,108.8,109.16
11/03/2019,MSFT,MICROSOFT CORP,24525610,112.83,112.95,110.98,110.99
12/03/2019,MSFT,MICROSOFT CORP,26103480,113.62,113.99,112.6499,112.82
13/03/2019,MSFT,MICROSOFT CORP,35311160,114.5,115,113.78,114.13
14/03/2019,MSFT,MICROSOFT CORP,30414810,114.59,115.2,114.33,114.54
15/03/2019,MSFT,MICROSOFT CORP,54025470,115.91,117.25,114.59,115.34
18/03/2019,MSFT,MICROSOFT CORP,31098780,117.57,117.61,116.05,116.17
19/03/2019,MSFT,MICROSOFT CORP,35304130,117.65,118.44,116.99,118.09
20/03/2019,MSFT,MICROSOFT CORP,26110540,117.52,118.75,116.71,117.39
21/03/2019,MSFT,MICROSOFT CORP,29747140,120.22,120.82,117.09,117.135
22/03/2019,MSFT,MICROSOFT CORP,32346990,117.05,119.59,117.04,119.5
25/03/2019,MSFT,MICROSOFT CORP,26641480,117.66,118.01,116.3224,116.56
26/03/2019,MSFT,MICROSOFT CORP,25986230,117.91,118.705,116.85,118.62
27/03/2019,MSFT,MICROSOFT CORP,22669440,116.77,118.21,115.5215,117.875
28/03/2019,MSFT,MICROSOFT CORP,17527550,116.93,117.58,116.13,117.44
29/03/2019,MSFT,MICROSOFT CORP,25375220,117.94,118.32,116.96,118.07
01/04/2019,MSFT,MICROSOFT CORP,19885780,119.02,119.1085,118.1,118.95
02/04/2019,MSFT,MICROSOFT CORP,16413430,119.19,119.48,118.52,119.06
03/04/2019,MSFT,MICROSOFT CORP,22354020,119.97,120.43,119.15,119.86
04/04/2019,MSFT,MICROSOFT CORP,20090610,119.36,120.23,118.38,120.1
05/04/2019,MSFT,MICROSOFT CORP,15737990,119.89,120.23,119.37,119.39
08/04/2019,MSFT,MICROSOFT CORP,15113170,119.93,120.02,118.64,119.81
09/04/2019,MSFT,MICROSOFT CORP,17275470,119.28,119.54,118.58,118.63
10/04/2019,MSFT,MICROSOFT CORP,14540330,120.19,120.35,119.54,119.76
11/04/2019,MSFT,MICROSOFT CORP,13758010,120.33,120.85,119.92,120.54
12/04/2019,MSFT,MICROSOFT CORP,19719730,120.95,120.98,120.37,120.64
15/04/2019,MSFT,MICROSOFT CORP,15526260,121.05,121.58,120.57,120.94
16/04/2019,MSFT,MICROSOFT CORP,14054870,120.77,121.65,120.1,121.64
17/04/2019,MSFT,MICROSOFT CORP,19012080,121.77,121.85,120.54,121.24
18/04/2019,MSFT,MICROSOFT CORP,27651970,123.37,123.52,121.3018,122.19
22/04/2019,MSFT,MICROSOFT CORP,14825150,123.76,124,122.57,122.62
23/04/2019,MSFT,MICROSOFT CORP,23539620,125.44,125.58,123.83,124.1
24/04/2019,MSFT,MICROSOFT CORP,29919920,125.01,125.85,124.52,125.79
25/04/2019,MSFT,MICROSOFT CORP,37927120,129.15,131.37,128.83,130.06
26/04/2019,MSFT,MICROSOFT CORP,23306180,129.89,130.5152,129.02,129.7
29/04/2019,MSFT,MICROSOFT CORP,16179580,129.77,130.18,129.35,129.9
30/04/2019,MSFT,MICROSOFT CORP,24041490,130.6,130.7,129.3947,129.81
01/05/2019,MSFT,MICROSOFT CORP,26786960,127.88,130.65,127.7,130.53
02/05/2019,MSFT,MICROSOFT CORP,26995620,126.21,128,125.52,127.98
03/05/2019,MSFT,MICROSOFT CORP,24869510,128.9,129.43,127.25,127.36
06/05/2019,MSFT,MICROSOFT CORP,23007530,128.15,128.56,126.11,126.39
07/05/2019,MSFT,MICROSOFT CORP,35167230,125.52,127.18,124.22,126.46
08/05/2019,MSFT,MICROSOFT CORP,25781720,125.51,126.37,124.75,125.44
09/05/2019,MSFT,MICROSOFT CORP,26907600,125.5,125.79,123.57,124.29
10/05/2019,MSFT,MICROSOFT CORP,30899670,127.13,127.93,123.82,124.91
13/05/2019,MSFT,MICROSOFT CORP,33854200,123.35,125.55,123.04,124.11
14/05/2019,MSFT,MICROSOFT CORP,25248910,124.73,125.88,123.7,123.87
15/05/2019,MSFT,MICROSOFT CORP,24712890,126.02,126.71,123.7,124.26
16/05/2019,MSFT,MICROSOFT CORP,30093430,128.93,129.38,126.46,126.75
17/05/2019,MSFT,MICROSOFT CORP,25746990,128.07,130.46,127.92,128.305
