GVKEY,iid,datadate,tic,conm,cshtrd,prcod,prcld,prchd,prccd,exchg
1004,1,03/01/2023,AIR,AAR CORP,260279,45.09,44.21,45.58,44.6,11
1004,1,04/01/2023,AIR,AAR CORP,258372,44.56,44.56,45.66,45.24,11
1004,1,05/01/2023,AIR,AAR CORP,132574,44.86,44.5,45.04,44.82,11
1004,1,06/01/2023,AIR,AAR CORP,301259,45.2,45.2,46.52,46.09,11
1004,1,09/01/2023,AIR,AAR CORP,372930,46.84,45.94,47.15,46.18,11
1004,1,10/01/2023,AIR,AAR CORP,159745,45.95,45.6601,46.91,46.83,11
1004,1,11/01/2023,AIR,AAR CORP,164807,46.91,46.91,48.41,48.4,11
1004,1,12/01/2023,AIR,AAR CORP,232769,48.71,48.14,49.5,49.47,11
1004,1,13/01/2023,AIR,AAR CORP,253439,48.89,48.71,49.66,49.25,11
1004,1,17/01/2023,AIR,AAR CORP,264386,49.15,48.81,49.61,49.26,11
1004,1,18/01/2023,AIR,AAR CORP,282601,49.41,48.55,50.13,48.55,11
1004,1,19/01/2023,AIR,AAR CORP,278308,48.06,47,48.435,48.04,11
1004,1,20/01/2023,AIR,AAR CORP,234672,48.38,47.65,48.445,48.2,11
1004,1,23/01/2023,AIR,AAR CORP,216566,48.12,47.84,48.33,48.25,11
1004,1,24/01/2023,AIR,AAR CORP,143014,48.32,47.87,48.39,48.15,11
1004,1,25/01/2023,AIR,AAR CORP,151201,47.73,47.68,49.49,49.47,11
1004,1,26/01/2023,AIR,AAR CORP,236585,49.6,49.265,50.52,50.49,11
1004,1,27/01/2023,AIR,AAR CORP,192519,50.46,49.72,50.91,50.2,11
1004,1,30/01/2023,AIR,AAR CORP,202262,49.94,49.73,50.53,49.91,11
1004,1,31/01/2023,AIR,AAR CORP,220857,50.14,50.09,51.44,51.44,11
1004,1,01/02/2023,AIR,AAR CORP,178690,51.5,51.05,52.4,52.03,11
1004,1,02/02/2023,AIR,AAR CORP,235699,52.13,51.67,52.74,52.1,11
1004,1,03/02/2023,AIR,AAR CORP,237153,51.88,51.88,52.84,51.94,11
1004,1,06/02/2023,AIR,AAR CORP,132919,51.67,50.8468,52.16,51.49,11
1004,1,07/02/2023,AIR,AAR CORP,177233,51.47,51.14,52.4,52.24,11
1004,1,08/02/2023,AIR,AAR CORP,107584,51.73,51.59,52.135,51.93,11
1004,1,09/02/2023,AIR,AAR CORP,122663,52.24,50.76,52.465,50.76,11
1004,1,10/02/2023,AIR,AAR CORP,129785,50.62,50.165,51.55,51.41,11
1004,1,13/02/2023,AIR,AAR CORP,126031,51.39,51.11,52.36,52.21,11
1004,1,14/02/2023,AIR,AAR CORP,267295,51.92,51.62,53.86,53.65,11
1004,1,15/02/2023,AIR,AAR CORP,339362,53.46,52.9201,54.76,54.74,11
1004,1,16/02/2023,AIR,AAR CORP,174389,53.88,53.65,54.625,54.41,11
1004,1,17/02/2023,AIR,AAR CORP,263935,54.54,53.81,54.97,54.42,11
1004,1,21/02/2023,AIR,AAR CORP,171762,54.25,53,54.33,53.44,11
1004,1,22/02/2023,AIR,AAR CORP,212732,53.32,53.23,54.825,53.94,11
1004,1,23/02/2023,AIR,AAR CORP,199427,54.08,53.93,55.04,55,11
1004,1,24/02/2023,AIR,AAR CORP,156838,54.34,53.95,54.71,54.71,11
1004,1,27/02/2023,AIR,AAR CORP,116029,55.14,54.765,55.5,54.91,11
1004,1,28/02/2023,AIR,AAR CORP,218118,54.87,54.08,54.915,54.39,11
1004,1,01/03/2023,AIR,AAR CORP,139758,54.3,53.76,55.24,55.19,11
1004,1,02/03/2023,AIR,AAR CORP,179969,54.9,54.8,56.34,56.07,11
1004,1,03/03/2023,AIR,AAR CORP,138859,56.41,55.7,56.71,56.6,11
1004,1,06/03/2023,AIR,AAR CORP,206901,56.6,54.63,56.6,54.94,11
1004,1,07/03/2023,AIR,AAR CORP,200324,55.08,54.59,55.445,54.68,11
1004,1,08/03/2023,AIR,AAR CORP,178036,54.77,53.96,54.9,54.67,11
1004,1,09/03/2023,AIR,AAR CORP,223681,54.8,53.82,55.5888,53.95,11
